cell_id,x,y,z,cell_type,volume,activation_level,miR_455_3p_level,miR_148a_5p_level,alpha_SMA_production,collagen_I_production,exosome_uptake_rate,last_exosome_uptake,miR_455_3p_effect,miR_148a_5p_effect,synergy_factor,cell_cycle_phase,stress_level,metabolic_activity,receptor_density,endosome_count,lysosome_count,mitochondria_activity,ER_stress,autophagy_level,senescence_markers,surface_receptor_count,internalized_receptor_count,vesicle_count,secretory_vesicle_count,actin_polymerization,stress_fiber_density,cell_stiffness,migration_speed,protrusion_activity,TGF_pathway_activity,PDGF_pathway_activity,apoptosis_pathway_activity,proliferation_signal
0,-185.57827872653527,-176.10499271388198,-143.1109323453142,0,4435.483765041367,0.0,0.0,0.0,0.0,0.0,0.4338496055128477,0,0.0,0.0,1.0,0.0,0.452758237701586,0.3741912457832848,105.51748474975386,2.0,19,0.222578800988559,0.0,0.1358274713104758,0.0,73.80436621887908,31.713118530874773,8,12,0.2249990856952304,0.0891190143799678,0.6336785215699516,0.14967649831331392,0.22451474746997088,-0.12474562191056644,0.33616101987254976,0.226379118850793,0.5602683664542496
1,-269.58488224096567,-17.5730659553387,-172.59272715526612,0,4522.755583094126,0.0,0.0,0.0,0.0,0.0,0.48118950119939513,0,0.0,0.0,1.0,0.0,0.46359348880564827,0.3503829603522416,97.14967282388277,9.0,14,0.16011014442027277,0.0,0.13907804664169449,0.0,89.52736504830193,7.622307775580838,13,11,0.23826872527424095,0.0,0.5,0.14015318414089664,0.21022977621134498,-0.07152857669775238,0.3224389060622783,0.23179674440282413,0.5373981767704639
2,-159.83630059769723,30.662493080097924,-120.0,0,4877.65100984987,0.0,0.0,0.0,0.0,0.0,0.5729200281433,0,0.0,0.0,1.0,0.0,0.21450091935441112,0.5098248515223976,130.1268308454933,6.0,15,0.3771341993560998,0.0,0.06435027580632334,0.0,113.64636064486137,16.480470200631913,9,7,0.1838578939210094,0.06182947911943926,0.5927442186791589,0.20392994060895908,0.3058949109134386,-0.150555319085132,0.3874383409673395,0.10725045967720556,0.6457305682788992
3,-124.200309565156,137.7268241184337,-120.0,0,5102.753920590742,0.0,0.0,0.0,0.0,0.0,0.6597456026043956,0,0.0,0.0,1.0,0.0,0.21179188993988735,0.48552114031212534,100.7501129367867,4.0,17,0.31504143345257835,0.0,0.0635375669819662,0.0,75.47006105095588,25.280051885830837,4,10,0.25731185782710503,0.0,0.5,0.19420845612485016,0.29131268418727524,0.06110091761666209,0.3761986567122086,0.10589594496994367,0.6269977611870143
4,-76.65045511821955,116.67126869458711,-180.0,0,4450.153990816792,0.0,0.0,0.0,0.0,0.0,0.7082937627822781,0,0.0,0.0,1.0,0.0,0.056368956351001975,0.5316883642714326,99.35339595163678,4.0,16,0.48638883951319306,0.0,0.016910686905300593,0.0,85.6826054296594,13.670790521977384,11,10,0.2213944929910086,0.029652296234828193,0.5444784443522422,0.21267534570857305,0.3190130185628596,-0.04276005810638342,0.3853992105468706,0.028184478175500988,0.6423320175781176
5,-48.97197777842033,21.048644644670915,-130.48445694439047,0,4167.300690449657,0.0,0.0,0.0,0.0,0.0,0.5504902293772768,0,0.0,0.0,1.0,0.0,0.0,0.6802052895762936,107.98224838051075,2.0,14,0.5210420339881229,0.0,0.0,0.0,82.66790626077795,25.314342119732807,12,8,0.2023265354056247,0.0,0.5,0.27208211583051745,0.40812317374577617,-0.12032692602809476,0.43925559318295665,0.0,0.7320926553049277
6,-245.91248659451918,180.65750892776796,-145.04537855223026,0,4627.118358838298,0.0,0.0,0.0,0.0,0.0,0.29177217316889026,0,0.0,0.0,1.0,0.0,0.44723396890764855,0.33454996387902913,66.73572316561369,4.0,15,0.2850028796817057,0.0,0.13417019067229455,0.0,67.79436597675928,-1.0586428111455888,3,9,0.13232689485106996,0.0,0.5,0.13381998555161165,0.20072997832741746,-0.06968314993389801,0.3113207599273077,0.22361698445382427,0.5188679332121795
7,-222.03037366567628,-20.287078486523008,-120.0,0,4488.342383320771,0.0,0.0,0.0,0.0,0.0,0.693785891659579,0,0.0,0.0,1.0,0.0,0.49141981943999735,0.40674661315293864,91.28660047674532,9.0,17,0.32469613846728257,0.0,0.1474259458319992,0.0,71.54499415813888,19.74160631860645,17,10,0.1598262479929499,0.05349352525870282,0.5802402878880543,0.16269864526117547,0.2440479678917632,-0.18853009036728996,0.3576371413912229,0.24570990971999868,0.5960619023187048
8,128.81786503384612,285.91656102972917,-133.46325634560262,0,4749.840603831328,0.0,0.0,0.0,0.0,0.0,0.43160706983598834,0,0.0,0.0,1.0,0.0,0.4365713439152103,0.33323270299624375,122.64226123276444,5.0,18,0.3447504499841924,0.0,0.13097140317456307,0.0,102.59922666667663,20.043034566087808,16,9,0.13796536734178416,0.0,0.5,0.1332930811984975,0.19993962179774627,-0.1326504693276469,0.30974084912772026,0.21828567195760515,0.5162347485462004
9,160.1820960387594,97.39697303966707,-150.8372423420507,0,4618.719225083475,0.0,0.0,0.0,0.0,0.0,0.48366404371996485,0,0.0,0.0,1.0,0.0,0.3616904405373812,0.44649745546845515,99.91969042775114,3.0,16,0.48663965756990524,0.0,0.10850713216121435,0.0,74.22544672425637,25.69424370349477,6,10,0.29816335892856594,0.0,0.5,0.17859898218738207,0.2678984732810731,-0.03729150683272775,0.3682646657666588,0.1808452202686906,0.6137744429444313
