cell_id,x,y,z,cell_type,volume,activation_level,miR_455_3p_level,miR_148a_5p_level,alpha_SMA_production,collagen_I_production,exosome_uptake_rate,last_exosome_uptake,miR_455_3p_effect,miR_148a_5p_effect,synergy_factor,cell_cycle_phase,stress_level,metabolic_activity,receptor_density,endosome_count,lysosome_count,mitochondria_activity,ER_stress,autophagy_level,senescence_markers,surface_receptor_count,internalized_receptor_count,vesicle_count,secretory_vesicle_count,actin_polymerization,stress_fiber_density,cell_stiffness,migration_speed,protrusion_activity,TGF_pathway_activity,PDGF_pathway_activity,apoptosis_pathway_activity,proliferation_signal
0,-329.3060092867171,-96.00895522647114,-141.83037697572863,0,4515.897861522195,0.1316693925146244,0.32480452331305903,0.18560258475031943,-0.3074720856857252,-0.06454260475286472,0.5760359923159794,2880,0.7645976101664408,0.6498631128026296,1.689644093286837,0.0,0.9284257749199473,0.25660186497755455,109.82903408588712,7.24804523313059,13,0.2781778954926444,-0.037201469043858994,0.27852773247598417,0.11521245591110063,96.81709759941474,13.011936486472386,16,7,0.19603996789565342,0.1750538839386756,0.7625808259080133,0.09250476248710755,0.13875714373066134,0.1016471643777532,0.29329510738066095,0.2672296185375155,0.4888251789677682
1,-199.67925077443925,-60.58005795518275,-135.28457067103952,0,5022.802319366051,0.12607161056404467,0.3453661910833935,0.19735210919051063,-0.3410547440515759,-0.09158368577423245,0.3770136960321151,2880,0.7754656684721826,0.6636983666528123,1.7256157532973122,0.0,0.29051029521628874,0.44288026998059743,102.307130739209,9.453661910833935,13,0.34050434530320944,-0.04326384298258083,0.08715308856488661,0.0,84.55689173430326,17.750239004905737,9,7,0.28103985532939313,0.4613361720988587,1.192004258148288,0.16040171931519112,0.2406025789727867,0.28322564527154215,0.3612710085651835,0.08254135230182022,0.6021183476086392
2,-180.67459168256678,-231.58980437096818,-142.9425168747945,0,4249.932482146117,0.13168348227983317,0.4004876778601539,0.22885010163437366,-0.47179092878954304,-0.17063295082362692,0.5220963497870489,2880,0.8001948810656992,0.6959100833388725,1.8093662166810685,2.5302986655138984,0.5765185461917647,0.32865978872592594,76.02406760406993,9.004876778601538,15,0.25578336150983166,-0.064242387961317,0.1729555638575294,0.0,57.047524643443076,18.976542960626848,16,7,0.29432903309995523,0.13772650011980903,0.7065897501797136,0.11848019585093514,0.1777202937764027,0.46158616829673693,0.31744172469874304,0.15887943424156153,0.5290695411645717
3,265.719192460853,94.88777781164384,-144.85860399724604,0,4319.3517949708685,0.12415965211610412,0.22108289933025793,0.126333085331576,0.0007307301364181006,0.11792104687373252,0.40061451523297853,2880,0.6885539522391616,0.5581733008521451,1.4512505822155775,0.0,0.5935771427221951,0.33469356341912837,87.20161196950649,10.210828993302579,16,0.37375752800246653,0.011865177701015061,0.1780731428166585,0.0,56.577113782280634,30.624498187225857,10,10,0.3278478361350795,0.0,0.5,0.1214107944477659,0.18211619167164883,-0.018575037679390893,0.3227410227757215,0.18578425126452325,0.5379017046262025
4,-118.12477178251824,94.28034784788811,-173.59101799667195,0,5552.238878711774,0.12493681739498558,0.3735678566912977,0.2134673466807416,-0.39648869164206585,-0.1285189791134595,0.5783260077449731,2880,0.7888370196856783,0.6809875061664799,1.7705675160328476,1.9833466649408618,0.36383895003287237,0.47273282427353946,117.37792093165646,9.735678566912977,19,0.528938599744065,-0.05250076707555253,0.10915168500986171,0.0,100.76994138271237,16.607979548944094,15,7,0.26554808862712787,0.31467915441829075,0.9720187316274361,0.1713746093465521,0.25706191401982814,0.012520152166497281,0.38112944679108485,0.10170256318364411,0.6352157446518081
5,171.2973993085744,-40.94649773578825,-168.15996606132668,0,4334.85944245526,0.12578329033606714,0.36597423432018783,0.20912813389725018,-0.38384257621468937,-0.11944974662172823,0.5315204132612916,2880,0.78539585961037,0.6765095472247162,1.7589248227842622,2.846040837431152,0.30787524041612596,0.45829813710683937,129.9930401353401,13.659742343201877,14,0.3131255863184624,-0.05032923228364176,0.09236257212483778,0.0,100.44649721361604,29.546542921724065,12,7,0.26108606504830634,0.273482954965916,0.910224432448874,0.16602538055067928,0.24903807082601892,0.19113248483697567,0.36998297710999895,0.086424948418815,0.6166382951833316
6,-62.115475395530666,-23.88502032038264,-167.31669117475113,0,4414.05333658041,0.12180873458235508,0.41098988285702504,0.23485136163258577,-0.45475843083731216,-0.16989597560941938,0.5151478209081679,2880,0.8043014091768622,0.7013600317691867,1.8235360825998854,1.8473463333970332,0.20777293936230984,0.5998929224784577,106.82776002534465,8.10989882857025,17,0.6028938363745491,-0.06246544064467315,0.06233188180869295,0.0,81.63097288415563,25.196787141189027,14,9,0.29934868076667676,0.15619072727111644,0.7342860909066746,0.21803550965977958,0.32705326448966937,0.20522987479138932,0.4244117772084393,0.056961114190677196,0.7073529620140655
7,-88.8253782277245,2.9576844073639688,-180.0,0,4193.932176446955,0.12050878874690474,0.3176144019428098,0.1814939439673199,-0.26506546130106123,-0.04870680888717171,0.432554089291885,2880,0.7605446566622611,0.6447525705504715,1.676356683431226,0.0,0.10191902957337791,0.5847562662703522,123.680432544393,14.176144019428097,11,0.40330537414918494,-0.0313772270188233,0.03057570887201337,0.0,96.02634861962122,27.65408392477179,12,8,0.20716355568536202,0.22712550373055349,0.8406882555958302,0.2127620257000201,0.3191430385500301,0.1291455757077494,0.41050706968831163,0.029475535337736884,0.6841784494805194
8,-146.745694898502,-23.052597480113114,-180.0,0,4408.311042594546,0.12336188653168287,0.321419069746903,0.1836680398553732,-0.2802460042559407,-0.055502348194051435,0.5824058296322742,2880,0.7627065143016468,0.6474752670375397,1.6834356942976032,1.7953942889503218,0.2905034813238548,0.4841445967740368,104.09248948364431,8.21419069746903,16,0.5031123002714657,-0.03357483524499921,0.08715104439715643,0.0,58.76347529373689,45.329014189907426,12,9,0.22342837810756105,0.0,0.5,0.1757403414659649,0.2636105121989474,-0.036484503649140965,0.38097005139143975,0.0838023331451511,0.6349500856523996
9,-101.19358232536231,-45.94514402733513,-164.76753702309165,0,5010.981340714012,0.12063430927872273,0.3003390367232786,0.17162230669901637,-0.22432111136661262,-0.022909847929388154,0.637839294930631,2880,0.7502117185011818,0.6318417245796767,1.6427884839071594,1.2269333215686469,0.4876503687888703,0.4982127933744973,91.491211071639,7.003390367232786,16,0.5306170921266982,-0.024723095929600078,0.1462951106366611,0.0,81.22017491389035,10.271036157748659,16,9,0.20722901999434873,0.0,0.5,0.1812546504890323,0.27188197573354844,0.13792979803285055,0.4029152361165168,0.14273135371378884,0.671525393527528
