x,y,z,TGF_beta1,exosomes,alpha_SMA,collagen_I,PDGF,VEGF,IL1_beta,TNF_alpha,oxygen,glucose,lactate,ATP
-400,0,-200,7.715069334224225,50.532420303174504,0.0,0.0,1.3189773795206199,1.8,0.35,0.37,0.2,0.4,0.7,0.264
-400,0,-180,7.4800030541052225,60.24600747384583,0.0,0.0,1.3097080276813307,1.76,0.35,0.37,0.2,0.41000000000000003,0.69,0.26560000000000006
-400,0,-160,6.849460261036312,64.78226776484074,0.0,0.0,1.3377642771678275,1.7200000000000002,0.35,0.37,0.2,0.42000000000000004,0.68,0.26720000000000005
-400,0,-140,7.835510691928029,87.3937541030048,0.0,0.0,1.344236090772888,1.6800000000000002,0.35,0.37,0.2,0.43000000000000005,0.67,0.26880000000000004
-400,0,-120,6.9530189158306746,96.85013904821929,0.0,0.0,1.1765055739057644,1.6400000000000001,0.35,0.37,0.2,0.44000000000000006,0.66,0.27040000000000003
-400,0,-100,6.561008668912818,109.3294465336356,0.0,0.0,1.393823041578531,1.6,0.35,0.37,0.2,0.45,0.65,0.272
-400,0,-80,7.248722013121956,2.769959798047639,0.0,0.0,1.303825732535355,1.56,0.35,0.37,0.2,0.46,0.64,0.2736
-400,0,-60,7.336940061059285,3.9134496517780724,0.0,0.0,1.1542392340035885,1.52,0.35,0.37,0.2,0.47000000000000003,0.63,0.2752
-400,0,-40,6.98904585991613,5.2596565470776095,0.0,0.0,1.2037362764291133,1.48,0.35,0.37,0.2,0.48000000000000004,0.62,0.27680000000000005
-400,0,-20,8.062551712716086,4.882073572869499,0.0,0.0,1.167788811487234,1.44,0.35,0.37,0.2,0.49000000000000005,0.61,0.27840000000000004
-400,0,0,7.362071730174581,5.519031147490911,0.0,0.0,1.2587741476223417,1.4,0.35,0.37,0.2,0.5,0.6,0.28
-400,0,20,6.32797558713212,8.572393059085723,0.0,0.0,1.2728205010753975,1.3599999999999999,0.35,0.37,0.2,0.51,0.59,0.2816
-400,0,40,7.81586775716997,8.512599412646885,0.0,0.0,1.3894630630138698,1.32,0.35,0.37,0.2,0.52,0.5800000000000001,0.2832
-400,0,60,8.068271963701761,11.914704792217934,0.0,0.0,1.3637421295941616,1.28,0.35,0.37,0.2,0.53,0.57,0.28480000000000005
-400,0,80,8.13546846615718,14.027381011717853,0.0,0.0,1.208786385032406,1.24,0.35,0.37,0.2,0.54,0.56,0.28640000000000004
-400,0,100,6.818916361693349,18.85914000531423,0.0,0.0,1.238980524257392,1.2,0.35,0.37,0.2,0.55,0.55,0.28800000000000003
