cell_id,x,y,z,cell_type,volume,activation_level,miR_455_3p_level,miR_148a_5p_level,alpha_SMA_production,collagen_I_production,exosome_uptake_rate,last_exosome_uptake,miR_455_3p_effect,miR_148a_5p_effect,synergy_factor,cell_cycle_phase,stress_level,metabolic_activity,receptor_density,endosome_count,lysosome_count,mitochondria_activity,ER_stress,autophagy_level,senescence_markers,surface_receptor_count,internalized_receptor_count,vesicle_count,secretory_vesicle_count,actin_polymerization,stress_fiber_density,cell_stiffness,migration_speed,protrusion_activity,TGF_pathway_activity,PDGF_pathway_activity,apoptosis_pathway_activity,proliferation_signal
0,131.9091324721901,-252.56596128760003,-174.02966149591384,0,4316.756354003214,0.0,0.0,0.0,0.0,0.0,0.511442035153535,0,0.0,0.0,1.0,0.0,0.23064964767057572,0.36578316865449034,110.59117503293297,5.0,15,0.33904745213002474,0.0,0.06919489430117272,0.0,89.31271781875374,21.278457214179223,4,7,0.2629669042905567,0.0,0.5,0.14631326746179615,0.21946990119269422,0.12123324496481645,0.3147990854900722,0.11532482383528786,0.5246651424834536
1,-70.43567408949707,66.41472734467162,-135.9791057372167,0,4542.735878921557,0.0,0.0,0.0,0.0,0.0,0.45937643129433936,0,0.0,0.0,1.0,0.0,0.006805279844067064,0.6169192490774024,87.39135161479219,6.0,17,0.43182766470957135,0.0,0.002041583953220119,0.0,78.47962322219763,8.911728392594556,9,8,0.14779215004424373,0.0,0.5,0.24676769963096096,0.37015154944644146,0.07414864329765479,0.4164839452706135,0.003402639922033532,0.6941399087843558
2,234.36476659300627,-48.95033050416129,-136.9395288528712,0,4363.047104268875,0.0,0.0,0.0,0.0,0.0,0.7220853962125585,0,0.0,0.0,1.0,0.0,0.42914250101245166,0.3939135270800703,86.18599425073386,3.0,21,0.16306907215099603,0.0,0.1287427503037355,0.0,61.69827931797799,24.48771493275586,9,8,0.0647430969698638,0.16638338787490314,0.7495750818123548,0.15756541083202813,0.2363481162480422,-0.1069771385062625,0.3456746285613536,0.21457125050622583,0.5761243809355894
3,-28.538938073869325,86.23720008479236,-142.07892074752613,0,4728.6945205674465,0.0,0.0,0.0,0.0,0.0,0.5679672227141381,0,0.0,0.0,1.0,1.0736716490049416,0.20892304577857188,0.5834382116261777,77.37949606242236,5.0,16,0.38800328795292494,0.0,0.06267691373357157,0.0,60.51744370989387,16.862052352528494,7,6,0.1553039722515694,0.0,0.5,0.23337528465047108,0.3500629269757066,0.035753771354205474,0.4180680229338752,0.10446152288928594,0.6967800382231253
4,193.80411534683012,-29.874583090208,-120.0,0,4490.7112800917575,0.0,0.0,0.0,0.0,0.0,0.5316090964401762,0,0.0,0.0,1.0,0.0,0.21235546163669594,0.4741761047045806,93.37105245755728,9.0,15,0.39714805040974827,0.0,0.06370663849100879,0.0,77.36468449117987,16.006367966377407,10,8,0.2453506419460896,0.0,0.5,0.18967044188183224,0.28450566282274836,0.2211374373276041,0.37093388776720077,0.10617773081834797,0.6182231462786679
5,-236.4101183186422,-230.73186316620237,-135.6642599353392,0,4677.298235156411,0.0,0.0,0.0,0.0,0.0,0.6265397054686206,0,0.0,0.0,1.0,0.0,0.547015128019827,0.3078662644140903,105.36991756100802,3.0,13,0.3433950752614742,0.0,0.1641045384059481,0.0,92.2254052144417,13.144512346566326,8,8,0.1516629181582594,0.0,0.5,0.12314650576563613,0.1847197586484542,-0.04698734124880695,0.3009554275508666,0.2735075640099135,0.5015923792514444
6,-256.080674210112,-131.46032614616036,-144.32569486961214,0,3793.7094115715217,0.0,0.0,0.0,0.0,0.0,0.414370958406925,0,0.0,0.0,1.0,1.9513612744926592,0.47807972542979205,0.3444972948418166,81.34844937879404,4.0,14,0.24333790647698555,0.0,0.1434239176289376,0.0,65.21578097739554,16.132668401398504,6,7,0.24754253667747073,0.1865184267762487,0.779777640164373,0.13779891793672666,0.20669837690509,0.04962160365403234,0.3200396732904003,0.23903986271489602,0.5333994554840005
7,-46.22042859690494,101.97549919922847,-180.0,0,4925.188471432646,0.0,0.0,0.0,0.0,0.0,0.5435433486873438,0,0.0,0.0,1.0,0.0,0.15668611354636916,0.5471861586970401,112.18997458945518,3.0,14,0.22665214233900316,0.0,0.04700583406391075,0.0,82.38315385834073,29.80682073111445,4,10,0.11936929367909263,0.05939833857518058,0.5890975078627709,0.21887446347881606,0.3283116952182241,-0.036437487409704775,0.399079161454091,0.07834305677318458,0.6651319357568184
8,-12.850842148924587,67.69176559557732,-141.77997060368816,0,3754.985534240913,0.0,0.0,0.0,0.0,0.0,0.44653744877287843,0,0.0,0.0,1.0,0.0,0.0,0.6518586449857569,76.43214431539138,3.0,14,0.5534475625790809,0.0,0.0,0.0,45.39265657445238,31.039487740939002,9,8,0.14267738184537432,0.16046297462607895,0.7406944619391185,0.26074345799430276,0.39111518699145414,-0.05881496627753446,0.42899361408867376,0.0,0.7149893568144563
9,-48.681197980670376,66.19923242415024,-179.60345859798434,0,5296.477606116892,0.0,0.0,0.0,0.0,0.0,0.5268885008782891,0,0.0,0.0,1.0,1.7427328490716316,0.11551804177213451,0.5908424775159428,94.11172736410701,5.0,15,0.4612653834169615,0.0,0.03465541253164035,0.0,63.01978071306556,31.091946651041457,5,9,0.26540406099131203,0.0,0.5,0.23633699100637712,0.3545054865095657,0.1354845088900226,0.41391420281756824,0.057759020886067255,0.6898570046959471
10,290.70220981458044,-133.36517486630586,-144.2918784810121,0,4024.052860211882,0.0,0.0,0.0,0.0,0.0,0.49688919344451515,0,0.0,0.0,1.0,0.0,0.5266127074266724,0.3148894221001652,86.42581614008495,7.0,19,0.19277211964070953,0.0,0.15798381222800173,0.0,63.84911385704072,22.576702283044224,9,7,0.00026302611959067024,0.0,0.5,0.12595576884006607,0.1889336532600991,-0.00934806556945524,0.3042162983862056,0.2633063537133362,0.5070271639770094
11,229.29156949146255,-112.0348158700123,-140.77982293618794,0,4586.922645451577,0.0,0.0,0.0,0.0,0.0,0.4374469183612292,0,0.0,0.0,1.0,0.0,0.6168811253335019,0.3542043335315994,90.79105099573465,4.0,14,0.44227134222798625,0.0,0.18506433760005056,0.0,81.68549515744297,9.105555838291671,4,9,0.1889266048911051,0.0,0.5,0.14168173341263976,0.21252260011895963,0.11933357262802897,0.3370011374418519,0.30844056266675096,0.5616685624030865
12,92.79817774031716,-161.88336490255446,-120.0,0,4436.857895390562,0.0,0.0,0.0,0.0,0.0,0.551402165415175,0,0.0,0.0,1.0,0.0,0.2315462935842697,0.4812415994036535,110.08664442990973,5.0,19,0.2972594865546928,0.0,0.06946388807528091,0.0,86.12840148438728,23.95824294552244,3,8,0.14854113430059224,0.009108001547057239,0.5136620023205859,0.19249663976146142,0.28874495964219216,-0.051439335294494126,0.3756354330869008,0.11577314679213485,0.6260590551448346
13,72.02256046882974,27.3801591408001,-180.0,0,4818.459849706486,0.0,0.0,0.0,0.0,0.0,0.5728134529882537,0,0.0,0.0,1.0,0.0,0.23725706001646812,0.5744546073046943,126.91847922560908,6.0,19,0.21870821970626286,0.0,0.07117711800494043,0.0,95.72872222470295,31.18975700090613,4,10,0.1792463296619636,0.036366203027005585,0.5545493045405083,0.22978184292187775,0.34467276438281663,0.03964494192466263,0.41635954386522883,0.11862853000823406,0.6939325731087147
14,-142.85022773977119,140.0600170847473,-137.36467328630675,0,4063.0782594509956,0.0,0.0,0.0,0.0,0.0,0.6022061079123817,0,0.0,0.0,1.0,0.0,0.3107210446925657,0.44752846137038,115.06364614080643,2.0,14,0.6462538471214636,0.0,0.0932163134077697,0.0,80.7612298306666,34.30241631013983,11,9,0.15625126010114074,0.0,0.5,0.17901138454815202,0.26851707682222803,0.02724231881675636,0.365064495109983,0.15536052234628284,0.608440825183305
15,-223.59626825752764,106.10584313416949,-141.88445744384234,0,3831.7528712210496,0.0,0.0,0.0,0.0,0.0,0.48173230360155395,0,0.0,0.0,1.0,0.0,0.3466057889006222,0.3958478748921805,110.74051900740997,8.0,12,0.35534197990812183,0.0,0.10398173667018666,0.0,87.6756183378173,23.06490066959268,12,9,0.1580809747191963,0.0,0.5,0.1583391499568722,0.2375087249353083,-0.04518578655969496,0.3405660059749197,0.1733028944503111,0.5676100099581995
16,-47.53372785389786,166.60750379542193,-133.81662544159155,0,4902.755492070776,0.0,0.0,0.0,0.0,0.0,0.5520644109722901,0,0.0,0.0,1.0,0.0,0.11591416058285453,0.5071709487441642,104.6396837149004,4.0,15,0.6294302146183333,0.0,0.03477424817485636,0.0,81.42813068840589,23.211553026494514,7,8,0.1917048048454067,0.0,0.5,0.2028683794976657,0.30430256924649857,0.005115131476751012,0.3791297191715576,0.057957080291427265,0.6318828652859293
17,55.2277110055142,215.9178727503096,-123.07935278701777,0,4780.037104286063,0.0,0.0,0.0,0.0,0.0,0.5394671430545294,0,0.0,0.0,1.0,0.0,0.30689000898540525,0.4319244368751018,95.56655121078143,3.0,14,0.39115506060588984,0.0,0.09206700269562157,0.0,69.79678825412037,25.769762956661047,7,12,0.2630608916762119,0.0684081129393971,0.6026121694090957,0.17276977475004074,0.2591546621250611,0.06305709577374223,0.3569869498947673,0.15344500449270262,0.5949782498246122
