x,y,z,TGF_beta1,exosomes,alpha_SMA,collagen_I,PDGF,VEGF,IL1_beta,TNF_alpha,oxygen,glucose,lactate,ATP
-400,0,-200,6.903778325754919,50.34679360950464,0.0,0.0,1.1876281797056387,1.8,0.35,0.37,0.2,0.4,0.7,0.264
-400,0,-180,6.750865082491996,60.35843101518591,0.0,0.0,1.2089798281277746,1.76,0.35,0.37,0.2,0.41000000000000003,0.69,0.26560000000000006
-400,0,-160,8.109719866529117,59.26374078005052,0.0,0.0,1.2666947560172768,1.7200000000000002,0.35,0.37,0.2,0.42000000000000004,0.68,0.26720000000000005
-400,0,-140,7.7511736076667335,62.47253395574607,0.0,0.0,1.1260384921046978,1.6800000000000002,0.35,0.37,0.2,0.43000000000000005,0.67,0.26880000000000004
-400,0,-120,8.428403727658418,98.79964432816955,0.0,0.0,1.385546381801865,1.6400000000000001,0.35,0.37,0.2,0.44000000000000006,0.66,0.27040000000000003
-400,0,-100,7.1967268631814445,114.72762810859119,0.0,0.0,1.346522965774349,1.6,0.35,0.37,0.2,0.45,0.65,0.272
-400,0,-80,8.152432443556506,3.370410951171982,0.0,0.0,1.358887973545167,1.56,0.35,0.37,0.2,0.46,0.64,0.2736
-400,0,-60,8.396211278171107,3.538928448572804,0.0,0.0,1.3972038814648176,1.52,0.35,0.37,0.2,0.47000000000000003,0.63,0.2752
-400,0,-40,6.738686370318801,5.0354919267717975,0.0,0.0,1.1651009413699913,1.48,0.35,0.37,0.2,0.48000000000000004,0.62,0.27680000000000005
-400,0,-20,8.576981000041972,6.116135925985807,0.0,0.0,1.1722183317512092,1.44,0.35,0.37,0.2,0.49000000000000005,0.61,0.27840000000000004
-400,0,0,7.6555589520779534,7.394146614636291,0.0,0.0,1.172331475636945,1.4,0.35,0.37,0.2,0.5,0.6,0.28
-400,0,20,7.888484511431976,9.679832113849997,0.0,0.0,1.2319488391122286,1.3599999999999999,0.35,0.37,0.2,0.51,0.59,0.2816
-400,0,40,8.082850790935318,9.557128986157958,0.0,0.0,1.2493443002278701,1.32,0.35,0.37,0.2,0.52,0.5800000000000001,0.2832
-400,0,60,7.724079135971806,11.775343074493064,0.0,0.0,1.1748526782635103,1.28,0.35,0.37,0.2,0.53,0.57,0.28480000000000005
-400,0,80,6.395318135899609,17.88719936258282,0.0,0.0,1.1998985887441098,1.24,0.35,0.37,0.2,0.54,0.56,0.28640000000000004
-400,0,100,6.767776399756208,21.86685139685362,0.0,0.0,1.3882183811345032,1.2,0.35,0.37,0.2,0.55,0.55,0.28800000000000003
-400,0,120,8.969842193983045,19.154436400160805,0.0,0.0,1.2739933668761885,1.16,0.35,0.37,0.52,0.56,0.37999999999999995,0.43296
-400,0,140,7.932766525882876,31.466852394448797,0.0,0.0,1.3633701622293855,1.12,0.35,0.37,0.8400000000000001,0.5700000000000001,0.20999999999999996,0.5830400000000001
-400,0,160,7.899679441854758,33.24034205367837,0.0,0.0,1.1926590754562596,1.08,0.35,0.37,0.8400000000000001,0.5800000000000001,0.19999999999999996,0.5897600000000001
-400,0,180,6.665849508697771,48.95560089228722,0.0,0.0,1.1998237446931292,1.04,0.35,0.37,0.52,0.5900000000000001,0.35,0.44544000000000006
-380,-120,-200,7.739888634497404,51.30897958645735,0.0,0.0,1.2513246059220204,1.8,0.35,0.37,0.2022542346448618,0.40150282309657453,0.6988728826775692,0.2649645169545192
-380,-120,-180,7.6829972963813695,56.12895205456363,0.0,0.0,1.3773566849496486,1.76,0.35,0.37,0.2022542346448618,0.41150282309657454,0.6888728826775692,0.26658255083167814
-380,-120,-160,8.726284139290346,68.06948762399331,0.0,0.0,1.2999855879500286,1.7200000000000002,0.35,0.37,0.2022542346448618,0.42150282309657455,0.6788728826775692,0.268200584708837
-380,-120,-140,7.966469521079928,59.8108554164899,0.0,0.0,1.3027006072521072,1.6800000000000002,0.35,0.37,0.2022542346448618,0.4315028230965745,0.6688728826775692,0.26981861858599593
-380,-120,-120,6.432507230744112,97.78492808308064,0.0,0.0,1.286417470076056,1.6400000000000001,0.35,0.37,0.2022542346448618,0.4415028230965745,0.6588728826775692,0.2714366524631548
-380,-120,-100,7.454934427085116,91.74258038995141,0.0,0.0,1.1828606395256895,1.6,0.35,0.37,0.2022542346448618,0.4515028230965745,0.6488728826775692,0.2730546863403137
-380,-120,-80,8.291198936642935,3.2051164432321793,0.0,0.0,1.1906413501585442,1.56,0.35,0.37,0.2022542346448618,0.46150282309657453,0.6388728826775691,0.2746727202174726
-380,-120,-60,6.655257130970835,4.179155186421407,0.0,0.0,1.3022531409822966,1.52,0.35,0.37,0.2022542346448618,0.47150282309657454,0.6288728826775691,0.2762907540946315
-380,-120,-40,7.667292699272749,4.812699628568663,0.0,0.0,1.2185209293310706,1.48,0.35,0.37,0.2022542346448618,0.48150282309657455,0.6188728826775691,0.2779087879717904
-380,-120,-20,6.41023449829431,4.855330605813314,0.0,0.0,1.135806129961061,1.44,0.35,0.37,0.2022542346448618,0.49150282309657456,0.6088728826775691,0.2795268218489493
-380,-120,0,8.153351105707593,6.587283426859728,0.0,0.0,1.2672366731159257,1.4,0.35,0.37,0.2022542346448618,0.5015028230965746,0.5988728826775691,0.2811448557261082
-380,-120,20,5.9810301479392525,9.239874333262119,0.0,0.0,1.2223964003949828,1.3599999999999999,0.35,0.37,0.2022542346448618,0.5115028230965746,0.5888728826775691,0.28276288960326706
-380,-120,40,7.04395559103334,10.955487953919475,0.0,0.0,1.2421805847580967,1.32,0.35,0.37,0.2022542346448618,0.5215028230965746,0.5788728826775691,0.284380923480426
