cell_id,x,y,z,cell_type,volume,activation_level,miR_455_3p_level,miR_148a_5p_level,alpha_SMA_production,collagen_I_production,exosome_uptake_rate,last_exosome_uptake,miR_455_3p_effect,miR_148a_5p_effect,synergy_factor,cell_cycle_phase,stress_level,metabolic_activity,receptor_density,endosome_count,lysosome_count,mitochondria_activity,ER_stress,autophagy_level,senescence_markers,surface_receptor_count,internalized_receptor_count,vesicle_count,secretory_vesicle_count,actin_polymerization,stress_fiber_density,cell_stiffness,migration_speed,protrusion_activity,TGF_pathway_activity,PDGF_pathway_activity,apoptosis_pathway_activity,proliferation_signal
0,7.0378599143228655,-101.40084651493358,-158.12418951705666,0,5324.066286136146,0.6432038221911094,0.0,0.0,5.145630577528875,3.216019110955547,0.4927559855258015,1440,0.0,0.0,1.0,0.0,0.4760828643578825,0.5136909957070146,118.31273913946673,3.0,15,0.4170714633834007,0.8361649688484423,0.14282485930736474,0.0,110.4311948326804,7.88154430678633,7,9,0.43068627814718974,0.5112180829240505,1.2668271243860758,0.1063539947236333,0.15953099208544996,0.573920742043776,0.2727385911776631,0.23804143217894125,0.45456431862943847
1,-228.92927487000875,33.03390825999645,-134.44522729663402,0,4156.941901828811,0.6724309969940595,0.0,0.0,5.379447975952476,3.3621549849702976,0.45498544652141,1440,0.0,0.0,1.0,0.0,0.8869763588934758,0.33876808664199803,103.80000094899115,4.0,12,0.16073431145462874,0.8741602960922773,0.2660929076680427,0.0,79.1125921180502,24.687408830940957,6,8,0.3699912630616767,0.5461577522654709,1.3192366283982064,0.06716778598166462,0.10075167897249693,0.470637577051301,0.23350410035035138,0.4434881794467379,0.389173500583919
2,270.16856275193805,-169.76941414417368,-168.74099235368544,0,5566.560722248646,0.6971142269340418,0.0,0.0,5.576913815472334,3.485571134670209,0.6245425281007011,1440,0.0,0.0,1.0,0.0,1.0,0.25589232651134086,86.57646000099828,3.0,12,0.19429923950883699,0.9062484950142544,0.3,0.0,70.08542548507178,16.491034515926493,8,5,0.5843227678117763,0.5616863891117226,1.342529583667584,0.04884107619224431,0.07326161428836646,0.5540760667935483,0.19939210991671114,0.5,0.33232018319451856
3,173.40382683085238,158.4091230890284,-180.0,0,3936.2401891829263,0.6777296020745772,0.0,0.0,5.421836816596618,3.388648010372886,0.5845259413067602,1440,0.0,0.0,1.0,0.0,1.0,0.3063247459153281,98.54682920502819,5.0,13,0.22761577778072514,0.8810484826969504,0.3,0.0,84.957726973651,13.58910223137719,7,10,0.47490189481193434,0.7289686265387887,1.593452939808183,0.060248293919693864,0.0903724408795408,0.46398545762163573,0.2254940096061282,0.5,0.375823349343547
4,-11.515559916838736,-98.71268165958885,-166.24171493407277,0,4431.520498146732,0.6434431960412949,0.0,0.0,5.147545568330359,3.217215980206474,0.4854190699820651,1440,0.0,0.0,1.0,0.0,0.6505675828120736,0.48095041540140115,123.17426603612576,5.0,22,0.3356168896943664,0.8364761548536833,0.19517027484362207,0.0,100.03615781899093,23.138108217134832,6,12,0.48709596341216493,0.49461542171459116,1.2419231325718867,0.0995408844335807,0.14931132665037106,0.5711247602299145,0.2722676500251725,0.3252837914060368,0.4537794167086209
5,-107.91954527072163,-120.63045567578384,-174.55697289742815,0,4058.286142020925,0.659445627391145,0.0,0.0,5.27556501912916,3.297228136955725,0.393728598497096,1440,0.0,0.0,1.0,0.0,0.9936063886318852,0.3634728519744289,103.418713933429,5.0,13,0.1898003138240272,0.8572793156084885,0.29808191658956557,0.0,81.75566540065638,21.663048532772617,10,8,0.4484814574029144,0.601066343592576,1.401599515388864,0.07348196591679376,0.11022294887519064,0.5759258246696954,0.2504029848737882,0.4968031943159426,0.4173383081229804
6,72.38577319491608,-68.95510338859037,-131.40317387457168,0,4956.950545756159,0.6401978692920403,0.0,0.0,5.121582954336322,3.2009893464602013,0.39766638944826116,1440,0.0,0.0,1.0,0.0,0.6931941777661782,0.488456201038053,139.5114942386636,6.0,16,0.5046202631856205,0.8322572300796522,0.20795825332985346,0.0,109.20200821822336,30.309486020440247,3,7,0.49088802569131473,0.6030571524343356,1.4045857286515033,0.10156989467110741,0.1523548420066611,0.7454644631356199,0.27729858953085734,0.3465970888830891,0.46216431588476226
7,263.75651619138665,-48.29657787619011,-142.55043397747949,0,4389.220185569931,0.6821788046544041,0.0,0.0,5.4574304372352325,3.41089402327202,0.43806776988942275,1440,0.0,0.0,1.0,0.0,1.0,0.29493759220448523,133.4730451753382,5.0,14,0.27548119623021733,0.8868324460507253,0.3,0.0,101.72870803743315,31.744337137905045,9,6,0.44841134295417906,0.5400737037019925,1.3101105555529888,0.05761498465248295,0.08642247697872443,0.5726553431814785,0.22013061975964193,0.5,0.3668843662660699
8,139.46443055284888,-149.87669136536147,-157.0482634030223,0,5699.5868411294505,0.6681675323899631,0.0,0.0,5.345340259119705,3.3408376619498155,0.5413960130689738,1440,0.0,0.0,1.0,0.0,0.7802931904440974,0.3669099861160574,112.1408027131387,6.0,13,0.27446822640921464,0.868617792106952,0.23408795713322922,0.0,90.83556758934442,21.305235123794276,6,11,0.3931676322293839,0.5978424441882467,1.3967636662823701,0.07321679243670247,0.1098251886550537,0.5910743026628783,0.2388826848868511,0.3901465952220487,0.39813780814475186
9,89.1510370320769,190.57247756097624,-150.208807418837,0,5121.889558250075,0.6688803259296251,0.0,0.0,5.351042607437001,3.3444016296481256,0.4722625649210485,1440,0.0,0.0,1.0,0.0,0.9031790765805751,0.34719510990007846,110.18221511162295,6.0,14,0.2797931734093002,0.8695444237085127,0.27095372297417253,0.0,88.15439642369476,22.027818687928182,4,9,0.5419447814337846,0.5171346665917175,1.2757019998875763,0.06920845047869045,0.10381267571803568,0.49813401156749637,0.2380385480175714,0.45158953829028753,0.396730913362619
10,44.58256748494051,67.805494104378,-137.59815949119493,0,3708.1933790043972,0.6362228938389886,0.0,0.0,5.0897831507119085,3.181114469194943,0.48088490341584067,1440,0.0,0.0,1.0,0.0,0.54263246354403,0.5340471039431309,98.13195496117666,3.0,16,0.21978057794570505,0.8270897619906851,0.162789739063209,0.0,83.5148135260873,14.617141435089373,6,7,0.4437774635048516,0.5115851910749873,1.2673777866124811,0.11168694340214343,0.16753041510321515,0.5252539646220785,0.28258104476580753,0.271316231772015,0.47096840794301253
11,37.2467820151399,-34.83944399284656,-180.0,0,3846.362962937389,0.6330158963592731,0.0,0.0,5.064127170874185,3.165079481796366,0.6056601185037221,1440,0.0,0.0,1.0,0.0,0.5133636493850737,0.5525348850248482,92.51791442157709,4.0,13,0.506141089506264,0.8229206652670552,0.1540090948155221,0.0,64.95566138534241,27.56225303623468,9,11,0.417233982539785,0.5921958857756433,1.388293828663465,0.11608494435580763,0.17412741653371144,0.4250957753385488,0.2861696453242212,0.25668182469253686,0.47694940887370196
12,-207.56289696461238,-68.89177736830833,-135.12433441101717,0,4732.214689955328,0.6694321174713741,0.0,0.0,5.355456939770993,3.3471605873568704,0.5536123575822904,1440,0.0,0.0,1.0,0.0,0.9762285546297828,0.33553206755225445,144.8167517918553,7.0,12,0.2368750074439176,0.8702617527127863,0.2928685663889348,0.0,121.50522322764716,23.31152856420814,6,10,0.42238450993047844,0.6157997211244003,1.4236995816866005,0.06682804428258564,0.10024206642387845,0.33781418969671706,0.23756129805867976,0.4881142773148914,0.39593549676446627
