cell_id,x,y,z,cell_type,volume,activation_level,miR_455_3p_level,miR_148a_5p_level,alpha_SMA_production,collagen_I_production,exosome_uptake_rate,last_exosome_uptake,miR_455_3p_effect,miR_148a_5p_effect,synergy_factor,cell_cycle_phase,stress_level,metabolic_activity,receptor_density,endosome_count,lysosome_count,mitochondria_activity,ER_stress,autophagy_level,senescence_markers,surface_receptor_count,internalized_receptor_count,vesicle_count,secretory_vesicle_count,actin_polymerization,stress_fiber_density,cell_stiffness,migration_speed,protrusion_activity,TGF_pathway_activity,PDGF_pathway_activity,apoptosis_pathway_activity,proliferation_signal
0,83.83423498359495,310.92313862604635,-120.0,0,4748.626239752104,0.33387981625599394,0.046468217293943154,0.046468217293943154,1.8236301222179252,1.1397688263862034,0.42594114778458425,1440,0.31725802465860103,0.31725802465860103,1.0,0.0,0.8353149111294838,0.285730776550421,83.18938501697492,5.4646821729394315,15,0.23074712345228407,0.29633989486041284,0.2505944733388451,0.0,66.38919043792173,16.8001945790532,11,7,0.30301169622353313,0.2496754874649598,0.8745132311974397,0.08567238886816729,0.12850858330225093,0.07983413600500638,0.2057310959644262,0.33815434796289745,0.34288515994071034
1,103.77465595290563,-190.16085725778402,-148.25481029896326,0,4976.912533493501,0.0,0.05414285399091426,0.05414285399091426,0.0,0.0,0.5276613775939041,1440,0.35125114521433237,0.35125114521433237,0.3863762597357656,0.0,0.13456267453482437,0.4515457026413596,90.02442423644433,6.541428539909143,16,0.3283971084056656,0.0,0.04036880236044731,0.0,65.17920813394133,24.845216102502995,7,11,0.15881209321062315,0.09762703487661814,0.6464405523149273,0.18061828105654387,0.2709274215848158,0.03356845102348401,0.3544087909608442,0.053101749207374024,0.5906813182680737
2,-118.17589498840238,47.86187988981022,-154.6196569254331,0,4345.901339118737,0.0,0.05689605014577546,0.05689605014577546,0.0,0.0,0.4113960406308719,1440,0.3626353250633915,0.3626353250633915,0.3988988575697307,0.0,0.23635627208113769,0.5285647001424867,80.37316009534067,1.5689605014577546,18,0.29880351642692604,0.0,0.0709068816243413,0.0,67.51619242169492,12.856967673645743,4,9,0.2219454689615451,0.10264689715510521,0.6539703457326578,0.2114258800569947,0.31713882008549205,0.07594023851759318,0.39709797682741116,0.09246479597349441,0.6618299613790186
3,-136.31645769293553,-4.477376862189301,-130.63209253434306,0,4477.52660030604,0.34093186048309576,0.03914336158149068,0.03914336158149068,1.9601760751391686,1.2251100469619804,0.6816330498570848,1440,0.2813167738409567,0.2813167738409567,1.0,0.0,0.33319328350320787,0.5139631718545954,111.69694954012158,4.391433615814907,16,0.32173279056764725,0.3185286122101149,0.09995798505096236,0.0,80.07722763109372,31.619721909027852,2,7,0.38101712151166195,0.11153347250504192,0.6673002087575629,0.15301734262178407,0.2295260139326761,0.33991205468361885,0.26539649647361374,0.13847678387742463,0.44232749412268957
4,158.66592497090423,-117.46797520058843,-127.56949484581588,0,4066.6306184208925,0.0,0.05069882421682309,0.05069882421682309,0.0,0.0,0.5701531705856953,1440,0.3364248160548248,0.3364248160548248,0.3700672976603073,0.0,0.23592876447429065,0.46575202576764924,109.89546994034681,7.506988242168231,16,0.1631689303308704,0.0,0.0707786293422872,0.0,88.79407426418848,21.10139567615833,3,13,0.29967408939108336,0.0,0.5,0.1863008103070597,0.27945121546058954,-0.11166359045941615,0.368575286863928,0.09415269488005373,0.6142921447732134
5,-79.68067413835682,-190.6949302323504,-127.854869339062,0,4230.824559526686,0.0,0.0527291867001991,0.0527291867001991,0.0,0.0,0.43848442445638075,1440,0.3452463005889257,0.3452463005889257,0.3797709306478183,2.103047902165669,0.1394729814701088,0.47035933552956255,105.86727397831176,5.527291867001991,12,0.3011217876746035,0.0,0.04184189444103264,0.0,80.7419624232312,25.125311555080557,12,6,0.1855136327498158,0.03514809727630176,0.5527221459144527,0.18814373421182504,0.28221560131773754,-0.005367271863106475,0.3639297142171852,0.055290731469655546,0.6065495236953087
6,-149.62204768289726,-271.23499698240516,-151.71668017069715,0,4388.823692693614,0.41019293822252884,0.029296595873398352,0.029296595873398352,2.537996830940063,1.5862480193375394,0.5916374698423925,1440,0.22658443306646922,0.22658443306646922,1.0,0.0,0.7094478501039935,0.2989642133211599,133.48267389084893,6.2929659587339835,16,0.08900684597058783,0.4124244850277602,0.21283435503119805,0.0,113.28557416059128,20.19709973025766,8,8,0.38927274648344246,0.41238171221383474,1.1185725683207521,0.08279578260278592,0.12419367390417888,0.3512599796390089,0.20501960825452603,0.3064989733801851,0.34169934709087674
7,-44.9131249725762,-172.9985552234541,-120.865906682325,0,4455.848068842587,0.34259886304575277,0.03993400631747058,0.03993400631747058,1.9586310550903152,1.224144409431447,0.5159739585594136,1440,0.2853774244615826,0.2853774244615826,1.0,0.0,0.42820504045843816,0.45820097322538406,104.93984630937415,5.399340063174706,15,0.35461547455604925,0.3182775464521762,0.12846151213753143,0.0,85.79932920617595,19.14051710319819,9,8,0.3300368961680715,0.4691592502896267,1.20373887543444,0.13618664954811144,0.20427997432216716,0.2907053139361991,0.2528880360275772,0.17744250475297002,0.421480060045962
8,-174.59043387345395,205.13852820319784,-146.8044430631163,0,4022.648114092729,0.3464890527957976,0.04206803589418649,0.04206803589418649,1.951116171149804,1.2194476069686275,0.3748383900064173,1440,0.2961118989884476,0.2961118989884476,1.0,0.0,0.6669030034350337,0.33467120925472893,125.39887392676701,6.420680358941865,13,0.324501867688093,0.31705637781184315,0.20007090103051012,0.0,97.02143163618982,28.377442290577193,9,7,0.310104180184589,0.11299043843509432,0.6694856576526415,0.09908051061408302,0.14862076592112453,0.30813113470235226,0.21908512737390087,0.27420812728104277,0.36514187895650146
9,50.31651688987037,-43.44575465185194,-135.701698139099,0,5092.193095634608,0.3523651404981941,0.03424922517343046,0.03424922517343046,2.0997671460255485,1.312354466265968,0.6129916054849358,1440,0.2551167437218758,0.2551167437218758,1.0,0.0,0.21071088053829456,0.6171758909873659,92.41808848921636,10.342492251734305,14,0.5290903349697182,0.34121216122915166,0.06321326416148837,0.0,73.39908146338924,19.01900702582712,10,8,0.26659546404163426,0.2495168483204026,0.8742752724806039,0.18162897553298799,0.272443463299482,0.17674612286402008,0.28770710211503,0.08922867815623761,0.4795118368583833
10,-194.94974507765644,-123.81788996551187,-120.0,0,4424.6794650463535,0.318229852504956,0.047792416373832323,0.047792416373832323,1.7225774383443986,1.0766108989652492,0.49874977440415447,1440,0.3233752958808399,0.3233752958808399,1.0,0.0,0.5375335719509442,0.393054672695622,135.1951205857441,4.477924163738323,18,0.18318867133193653,0.27991883373096477,0.16126007158528324,0.0,117.49437347684538,17.70074710889872,8,6,0.3427146185968573,0.25363698001694546,0.8804554700254181,0.11969734992275535,0.17954602488413302,0.21498171991089962,0.23578766420277134,0.21661926261281572,0.39297944033795223
11,-3.430046080003244,-73.22683497263742,-169.59907998867186,0,4505.9108487981175,0.31920591432740014,0.04317667592123266,0.04317667592123266,1.783563767065012,1.1147273544156324,0.5316156992182013,1440,0.30156221775246345,0.30156221775246345,1.0,2.4074047023571272,0.4356204756461203,0.5471873150375896,113.8745821985677,8.431766759212326,18,0.47290932778233324,0.28982911214806445,0.13068614269383608,0.0,81.9353656404778,31.9392165580899,10,7,0.3074079585160665,0.4397801652751683,1.1596702479127523,0.16647529785355716,0.24971294678033573,0.21817042215317556,0.28036878675067467,0.17840023480279202,0.4672813112511245
12,266.63888405569696,100.01854423854078,-146.74736694452034,0,4758.348949615397,0.3325533696595115,0.04601037765068835,0.04601037765068835,1.822080731577061,1.1388004572356631,0.567678648616811,1440,0.3151171744844222,0.3151171744844222,1.0,0.0,0.8489429357021533,0.30112002108533453,87.23000070712789,4.460103776506884,13,0.3078449123854435,0.2960881188812724,0.254682880710646,0.0,77.41479462270294,9.815206084424943,7,10,0.32799629988955187,0.3498206317696725,1.0247309476545088,0.09040646512897248,0.1356096976934587,0.2907913714156607,0.2140102891100306,0.3442165180919847,0.3566838151833843
13,111.09922509439517,-8.583053348748328,-154.33417885095182,0,3986.1143359969396,0.0,0.050722048345382964,0.050722048345382964,0.0,0.0,0.467677959142243,1440,0.33652706357302314,0.33652706357302314,0.3701797699303255,0.0,0.1924882770892401,0.5550067386483962,100.53203167697788,4.50722048345383,15,0.6354954136044353,0.0,0.057746483126772025,0.0,80.787354619164,19.744677057813874,18,7,0.2828896765074122,0.09898929700100575,0.6484839455015086,0.2220026954593585,0.33300404318903776,0.07739855607743977,0.4051168226678219,0.07681088414629833,0.6751947044463699
14,42.11016946767094,-166.8659758317714,-178.573853562649,0,4458.654193653376,0.0,0.05672253377126579,0.05672253377126579,0.0,0.0,0.4384159749428953,1440,0.36192966261030135,0.36192966261030135,0.39812262887133154,0.0,0.2249531076457819,0.47025112803499675,92.95464339522164,0.5672253377126579,24,0.31799258663989644,0.0,0.06748593229373458,0.0,64.1879424667583,28.766700928463344,8,9,0.1858845783856096,0.0,0.5,0.1881004512139987,0.28215067682099804,-0.05024999254820544,0.3696326625044161,0.08805139311687796,0.6160544375073602
