x,y,z,TGF_beta1,exosomes,alpha_SMA,collagen_I,PDGF,VEGF,IL1_beta,TNF_alpha,oxygen,glucose,lactate,ATP
-400,0,-200,6.702368893525773,43.88407182892524,0.0,0.0,1.1826407882895145,1.8,0.35,0.37,0.2,0.4,0.7,0.264
-400,0,-180,7.872288863546866,61.36969368369154,0.0,0.0,1.3491163004385953,1.76,0.35,0.37,0.2,0.41000000000000003,0.69,0.26560000000000006
-400,0,-160,8.03703084052715,58.406506566366616,0.0,0.0,1.353921706937874,1.7200000000000002,0.35,0.37,0.2,0.42000000000000004,0.68,0.26720000000000005
-400,0,-140,7.561837214236368,78.66090269270279,0.0,0.0,1.1387141980248938,1.6800000000000002,0.35,0.37,0.2,0.43000000000000005,0.67,0.26880000000000004
-400,0,-120,6.528638631698672,82.81242708930358,0.0,0.0,1.261029761196379,1.6400000000000001,0.35,0.37,0.2,0.44000000000000006,0.66,0.27040000000000003
-400,0,-100,8.76135203180487,88.04405843842999,0.0,0.0,1.2999745292992029,1.6,0.35,0.37,0.2,0.45,0.65,0.272
-400,0,-80,8.151473427864712,2.607206871140836,0.0,0.0,1.3590299024518426,1.56,0.35,0.37,0.2,0.46,0.64,0.2736
-400,0,-60,7.589249958901844,3.048701372566187,0.0,0.0,1.3523822939032428,1.52,0.35,0.37,0.2,0.47000000000000003,0.63,0.2752
-400,0,-40,7.432257389674449,4.234839331194183,0.0,0.0,1.1287918757181041,1.48,0.35,0.37,0.2,0.48000000000000004,0.62,0.27680000000000005
-400,0,-20,7.7348502543864,4.99765039199564,0.0,0.0,1.2042429515193027,1.44,0.35,0.37,0.2,0.49000000000000005,0.61,0.27840000000000004
-400,0,0,8.613983801029434,6.8646917227331645,0.0,0.0,1.1873691781074474,1.4,0.35,0.37,0.2,0.5,0.6,0.28
-400,0,20,7.633880718369555,8.792002890334869,0.0,0.0,1.1691274122492064,1.3599999999999999,0.35,0.37,0.2,0.51,0.59,0.2816
-400,0,40,7.52829904045777,9.084807378691366,0.0,0.0,1.2752002446026098,1.32,0.35,0.37,0.2,0.52,0.5800000000000001,0.2832
-400,0,60,6.332266122485444,14.161711201729778,0.0,0.0,1.2319628262644076,1.28,0.35,0.37,0.2,0.53,0.57,0.28480000000000005
-400,0,80,9.187268320852727,12.429549235667732,0.0,0.0,1.3884435293149824,1.24,0.35,0.37,0.2,0.54,0.56,0.28640000000000004
-400,0,100,6.314144118674077,16.363702595712745,0.0,0.0,1.257107222995693,1.2,0.35,0.37,0.2,0.55,0.55,0.28800000000000003
-400,0,120,7.973925188470708,21.086320332341607,0.0,0.0,1.1344982666543213,1.16,0.35,0.37,0.52,0.56,0.37999999999999995,0.43296
