x,y,z,TGF_beta1,exosomes,alpha_SMA,collagen_I,PDGF,VEGF,IL1_beta,TNF_alpha,oxygen,glucose,lactate,ATP
-400,0,-200,1.177383315239324,0.0,0.048,0.0288,1.2568615114068942,1.8,0.5,0.4,0.2,0.4,0.7,0.264
-400,0,-180,1.272109810132269,0.0,0.048,0.0288,1.200314552034101,1.76,0.5,0.4,0.2,0.41000000000000003,0.69,0.26560000000000006
-400,0,-160,1.2471721527361854,0.0,0.048,0.0288,1.1940481668927831,1.7200000000000002,0.5,0.4,0.2,0.42000000000000004,0.68,0.26720000000000005
-400,0,-140,1.1277225234935395,0.0,0.048,0.0288,1.136144201876774,1.6800000000000002,0.5,0.4,0.2,0.43000000000000005,0.67,0.26880000000000004
-400,0,-120,1.295199505910737,0.0,0.048,0.0288,1.2711151720941303,1.6400000000000001,0.5,0.4,0.2,0.44000000000000006,0.66,0.27040000000000003
-400,0,-100,1.3116440138981518,0.0,0.048,0.0288,1.3462374122548724,1.6,0.5,0.4,0.2,0.45,0.65,0.272
-400,0,-80,1.0662342668790699,0.0,0.048,0.0288,1.1805756284578932,1.56,0.5,0.4,0.2,0.46,0.64,0.2736
-400,0,-60,1.1867588067195114,0.0,0.048,0.0288,1.2870341089842894,1.52,0.5,0.4,0.2,0.47000000000000003,0.63,0.2752
-400,0,-40,1.3240790447707893,0.0,0.048,0.0288,1.3824677298881205,1.48,0.5,0.4,0.2,0.48000000000000004,0.62,0.27680000000000005
-400,0,-20,1.346643682568632,0.0,0.048,0.0288,1.1630257325430224,1.44,0.5,0.4,0.2,0.49000000000000005,0.61,0.27840000000000004
-400,0,0,1.249584356663509,0.0,0.048,0.0288,1.2735296067386972,1.4,0.5,0.4,0.2,0.5,0.6,0.28
-400,0,20,1.1099545278934637,0.0,0.048,0.0288,1.2900559823394127,1.3599999999999999,0.5,0.4,0.2,0.51,0.59,0.2816
-400,0,40,1.329505255819169,0.0,0.048,0.0288,1.3639512216251792,1.32,0.5,0.4,0.2,0.52,0.5800000000000001,0.2832
-400,0,60,1.245404412083677,0.0,0.048,0.0288,1.2146283173978105,1.28,0.5,0.4,0.2,0.53,0.57,0.28480000000000005
-400,0,80,1.110112343959566,0.0,0.048,0.0288,1.3517610577580523,1.24,0.5,0.4,0.2,0.54,0.56,0.28640000000000004
-400,0,100,1.2903030815052516,0.0,0.048,0.0288,1.2296715418867203,1.2,0.5,0.4,0.2,0.55,0.55,0.28800000000000003
-400,0,120,1.1134229866547327,0.0,0.048,0.0288,1.2255412106727415,1.16,0.5,0.4,0.52,0.56,0.37999999999999995,0.43296
-400,0,140,1.0976672700549803,0.0,0.048,0.0288,1.3314708516186964,1.12,0.5,0.4,0.8400000000000001,0.5700000000000001,0.20999999999999996,0.5830400000000001
-400,0,160,1.141290945117837,0.0,0.048,0.0288,1.332209182373852,1.08,0.5,0.4,0.8400000000000001,0.5800000000000001,0.19999999999999996,0.5897600000000001
-400,0,180,1.2600944868841812,0.0,0.048,0.0288,1.2050843363820958,1.04,0.5,0.4,0.52,0.5900000000000001,0.35,0.44544000000000006
-380,-120,-200,1.1840871329504217,0.0,0.048,0.0288,1.2055264036656317,1.8,0.5,0.4,0.2022542346448618,0.40150282309657453,0.6988728826775692,0.2649645169545192
-380,-120,-180,1.1345055135009323,0.0,0.048,0.0288,1.1657434463800072,1.76,0.5,0.4,0.2022542346448618,0.41150282309657454,0.6888728826775692,0.26658255083167814
-380,-120,-160,1.3135209532515528,0.0,0.048,0.0288,1.308620592931159,1.7200000000000002,0.5,0.4,0.2022542346448618,0.42150282309657455,0.6788728826775692,0.268200584708837
-380,-120,-140,1.2039629962842793,0.0,0.048,0.0288,1.3518897293379064,1.6800000000000002,0.5,0.4,0.2022542346448618,0.4315028230965745,0.6688728826775692,0.26981861858599593
-380,-120,-120,1.0768722942416675,0.0,0.048,0.0288,1.3086464384948004,1.6400000000000001,0.5,0.4,0.2022542346448618,0.4415028230965745,0.6588728826775692,0.2714366524631548
-380,-120,-100,1.1470905206905901,0.0,0.048,0.0288,1.3325976591219881,1.6,0.5,0.4,0.2022542346448618,0.4515028230965745,0.6488728826775692,0.2730546863403137
-380,-120,-80,1.2721114934976079,0.0,0.048,0.0288,1.1551741320647853,1.56,0.5,0.4,0.2022542346448618,0.46150282309657453,0.6388728826775691,0.2746727202174726
-380,-120,-60,1.1135122372387105,0.0,0.048,0.0288,1.1674059359653546,1.52,0.5,0.4,0.2022542346448618,0.47150282309657454,0.6288728826775691,0.2762907540946315
-380,-120,-40,1.282833475833748,0.0,0.048,0.0288,1.2030451005209266,1.48,0.5,0.4,0.2022542346448618,0.48150282309657455,0.6188728826775691,0.2779087879717904
-380,-120,-20,1.099262594920701,0.0,0.048,0.0288,1.3013366815445713,1.44,0.5,0.4,0.2022542346448618,0.49150282309657456,0.6088728826775691,0.2795268218489493
-380,-120,0,1.423218904028211,0.0,0.048,0.0288,1.2655135859414555,1.4,0.5,0.4,0.2022542346448618,0.5015028230965746,0.5988728826775691,0.2811448557261082
-380,-120,20,1.1698184078457452,0.0,0.048,0.0288,1.3932358360157298,1.3599999999999999,0.5,0.4,0.2022542346448618,0.5115028230965746,0.5888728826775691,0.28276288960326706
-380,-120,40,1.0036118433953936,0.0,0.048,0.0288,1.2175864927199131,1.32,0.5,0.4,0.2022542346448618,0.5215028230965746,0.5788728826775691,0.284380923480426
-380,-120,60,1.288676097643981,0.0,0.048,0.0288,1.2122629721573286,1.28,0.5,0.4,0.2022542346448618,0.5315028230965746,0.5688728826775691,0.28599895735758485
-380,-120,80,1.3262256800706977,0.0,0.048,0.0288,1.2953625169215275,1.24,0.5,0.4,0.2022542346448618,0.5415028230965745,0.5588728826775692,0.28761699123474377
-380,-120,100,1.1905467534401184,0.0,0.048,0.0288,1.264351133763245,1.2,0.5,0.4,0.2022542346448618,0.5515028230965746,0.5488728826775692,0.2892350251119027
-380,-120,120,1.3423033317453974,0.0,0.048,0.0288,1.361219287528779,1.16,0.5,0.4,0.5222542346448618,0.5615028230965746,0.3788728826775691,0.43459778170178465
-380,-120,140,1.2358455848320642,0.0,0.048,0.0288,1.3758944456798092,1.12,0.5,0.4,0.8422542346448618,0.5715028230965745,0.2088728826775691,0.5850805382916666
-380,-120,160,1.1125944559245655,0.0,0.048,0.0288,1.395347139663667,1.08,0.5,0.4,0.8422542346448618,0.5815028230965745,0.19887288267756908,0.5918185721688255
-380,-120,180,0.8521837658041422,0.0,0.048,0.0288,1.3327543956450483,1.04,0.5,0.4,0.5222542346448618,0.5915028230965745,0.3488728826775691,0.4471318833332613
-380,-100,-200,1.224763100024715,0.0,0.048,0.0288,1.3458440338167577,1.8,0.5,0.4,0.21059351886834501,0.40706234591223,0.6947032405658276,0.268579753459568
-380,-100,-180,1.2281649794723228,0.0,0.048,0.0288,1.3545389294696355,1.76,0.5,0.4,0.21059351886834501,0.41706234591223,0.6847032405658275,0.2702645016105148
-380,-100,-160,1.2659056111976386,0.0,0.048,0.0288,1.3558580897585015,1.7200000000000002,0.5,0.4,0.21059351886834501,0.42706234591223,0.6747032405658275,0.2719492497614615
-380,-100,-140,1.1769279560299972,0.0,0.048,0.0288,1.3152097603860562,1.6800000000000002,0.5,0.4,0.21059351886834501,0.43706234591223003,0.6647032405658275,0.2736339979124083
-380,-100,-120,1.1772146769526366,0.0,0.048,0.0288,1.1716448175068694,1.6400000000000001,0.5,0.4,0.21059351886834501,0.44706234591223004,0.6547032405658275,0.27531874606335505
-380,-100,-100,1.2552801268492682,0.0,0.048,0.0288,1.1536668396530325,1.6,0.5,0.4,0.21059351886834501,0.45706234591223,0.6447032405658275,0.2770034942143018
-380,-100,-80,1.3386654751417477,0.0,0.048,0.0288,1.1350203625568211,1.56,0.5,0.4,0.21059351886834501,0.46706234591223,0.6347032405658275,0.2786882423652486
-380,-100,-60,1.1822584107151823,0.0,0.048,0.0288,1.239958806337223,1.52,0.5,0.4,0.21059351886834501,0.47706234591223,0.6247032405658275,0.28037299051619535
-380,-100,-40,1.436831405450157,0.0,0.048,0.0288,1.2067287904896973,1.48,0.5,0.4,0.21059351886834501,0.48706234591223,0.6147032405658275,0.2820577386671421
-380,-100,-20,1.302127340839101,0.0,0.048,0.0288,1.1951916512041003,1.44,0.5,0.4,0.21059351886834501,0.49706234591223003,0.6047032405658275,0.2837424868180889
-380,-100,0,1.2677631609031765,0.0,0.048,0.0288,1.2050742222409934,1.4,0.5,0.4,0.21059351886834501,0.50706234591223,0.5947032405658275,0.2854272349690356
-380,-100,20,1.2672157990704769,0.0,0.048,0.0288,1.1337183399489266,1.3599999999999999,0.5,0.4,0.21059351886834501,0.51706234591223,0.5847032405658275,0.2871119831199824
-380,-100,40,1.303308880301192,0.0,0.048,0.0288,1.2319089139550847,1.32,0.5,0.4,0.21059351886834501,0.52706234591223,0.5747032405658274,0.28879673127092914
-380,-100,60,1.1285049300092167,0.0,0.048,0.0288,1.2714885086895036,1.28,0.5,0.4,0.21059351886834501,0.53706234591223,0.5647032405658274,0.2904814794218759
-380,-100,80,0.959370174303812,0.0,0.048,0.0288,1.2061410657725764,1.24,0.5,0.4,0.21059351886834501,0.54706234591223,0.5547032405658275,0.2921662275728226
-380,-100,100,0.9831897270880607,0.0,0.048,0.0288,1.17096009733963,1.2,0.5,0.4,0.21059351886834501,0.55706234591223,0.5447032405658275,0.2938509757237694
-380,-100,120,1.1967516055701863,0.0,0.048,0.0288,1.1401803526399887,1.16,0.5,0.4,0.530593518868345,0.56706234591223,0.37470324056582743,0.4407036844282471
-380,-100,140,1.1572702404464703,0.0,0.048,0.0288,1.1467391694948343,1.12,0.5,0.4,0.8505935188683451,0.57706234591223,0.20470324056582745,0.5926763931327248
-380,-100,160,1.0307126119316592,0.0,0.048,0.0288,1.2101868098854776,1.08,0.5,0.4,0.8505935188683451,0.58706234591223,0.19470324056582744,0.5994811412836716
-380,-100,180,1.0005876613644438,0.0,0.048,0.0288,1.3664363518281384,1.04,0.5,0.4,0.530593518868345,0.59706234591223,0.34470324056582746,0.4534379288810873
-380,-80,-200,1.2341477804885996,0.0,0.048,0.0288,1.3876108863504302,1.8,0.5,0.4,0.217505364831572,0.411670243221048,0.691247317584214,0.2716323891536768
-380,-80,-180,1.0887815131221268,0.0,0.048,0.0288,1.3065975647038381,1.76,0.5,0.4,0.217505364831572,0.421670243221048,0.681247317584214,0.2733724320723294
-380,-80,-160,1.125802109598453,0.0,0.048,0.0288,1.13707200557057,1.7200000000000002,0.5,0.4,0.217505364831572,0.431670243221048,0.6712473175842141,0.275112474990982
-380,-80,-140,1.1807672237242277,0.0,0.048,0.0288,1.262671740558441,1.6800000000000002,0.5,0.4,0.217505364831572,0.441670243221048,0.6612473175842141,0.27685251790963455
-380,-80,-120,1.2605826158511457,0.0,0.048,0.0288,1.3231080366403578,1.6400000000000001,0.5,0.4,0.217505364831572,0.451670243221048,0.6512473175842141,0.27859256082828715
-380,-80,-100,1.396242936390797,0.0,0.048,0.0288,1.230341389698711,1.6,0.5,0.4,0.217505364831572,0.461670243221048,0.641247317584214,0.2803326037469397
-380,-80,-80,1.248375148508295,0.0,0.048,0.0288,1.2731152441716387,1.56,0.5,0.4,0.217505364831572,0.471670243221048,0.631247317584214,0.2820726466655923
-380,-80,-60,1.1071825717267894,0.0,0.048,0.0288,1.3500568316071584,1.52,0.5,0.4,0.217505364831572,0.481670243221048,0.621247317584214,0.2838126895842449
-380,-80,-40,1.1271420759627495,0.0,0.048,0.0288,1.152904314959094,1.48,0.5,0.4,0.217505364831572,0.491670243221048,0.611247317584214,0.2855527325028975
-380,-80,-20,1.244861264930992,0.0,0.048,0.0288,1.1533727244402254,1.44,0.5,0.4,0.217505364831572,0.501670243221048,0.601247317584214,0.28729277542155
-380,-80,0,1.0901272935405901,0.0,0.048,0.0288,1.2744298173561008,1.4,0.5,0.4,0.217505364831572,0.511670243221048,0.591247317584214,0.2890328183402026
-380,-80,20,1.05234543556579,0.0,0.048,0.0288,1.1419133457848905,1.3599999999999999,0.5,0.4,0.217505364831572,0.521670243221048,0.581247317584214,0.29077286125885515
-380,-80,40,1.2597815444351816,0.0,0.048,0.0288,1.1421282871434149,1.32,0.5,0.4,0.217505364831572,0.5316702432210481,0.5712473175842141,0.29251290417750775
-380,-80,60,1.2400618565075654,0.0,0.048,0.0288,1.2087197020772416,1.28,0.5,0.4,0.217505364831572,0.5416702432210481,0.561247317584214,0.29425294709616034
-380,-80,80,1.2899324882167997,0.0,0.048,0.0288,1.1631330252302166,1.24,0.5,0.4,0.217505364831572,0.551670243221048,0.5512473175842141,0.2959929900148129
-380,-80,100,1.1014082796523819,0.0,0.048,0.0288,1.388330020934558,1.2,0.5,0.4,0.217505364831572,0.5616702432210481,0.5412473175842141,0.2977330329334655
-380,-80,120,0.9290891842649348,0.0,0.048,0.0288,1.2199630024168782,1.16,0.5,0.4,0.537505364831572,0.5716702432210481,0.371247317584214,0.44582065811670635
-380,-80,140,1.246295397115439,0.0,0.048,0.0288,1.2306838776578695,1.12,0.5,0.4,0.857505364831572,0.581670243221048,0.201247317584214,0.5990282832999472
-380,-80,160,0.8843705742681853,0.0,0.048,0.0288,1.2877011225358395,1.08,0.5,0.4,0.857505364831572,0.591670243221048,0.19124731758421398,0.6058883262185999
-380,-80,180,1.0097700877070177,0.0,0.048,0.0288,1.3503156817451405,1.04,0.5,0.4,0.537505364831572,0.601670243221048,0.341247317584214,0.45872078687266404
